model,dataset,beam,samples,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper
LLAMA3_70B,HUMAN_EVAL,1,1000,score,0.7317073170731707,,,n/a,,paired t-test,,
PHI35,WMT,3,1000,mem_per_token,3.44235056488003,1.5000255020445978,0.11477712331992995,better,6.5471801069048045e-56,paired t-test,-2.0571021861553622,-1.8275479395155023
PHI35,WMT,3,1000,tok_per_sec,17.243085696724805,17.06655466828713,0.06849014465853075,worse,1.5421523006938375e-06,paired t-test,-0.245021173096209,-0.1080408837791475
PHI35,WMT,3,1000,score,0.4918340294932138,0.4926965385766699,0.0016675452282113,no_sig,0.3072503266557845,paired t-test,-0.0008050361447553,0.0025300543116673
PHI35,WMT,15,1000,mem_per_token,16.909739194885795,3.99923790229924,0.8481746150116871,better,9.316794138737964e-52,paired t-test,-13.75867590759824,-12.062326677574866
PHI35,WMT,15,1000,tok_per_sec,14.198724531991338,13.896459307982251,0.1006868104700118,worse,3.945691904231867e-08,paired t-test,-0.4029520344790974,-0.2015784135390738
PHI35,WMT,15,1000,score,0.4886391984985948,0.4909690869437235,0.00499478161431525,no_sig,0.3569218706034033,paired t-test,-0.0026648931691865,0.007324670059444
PHI35,WMT,1,1000,mem_per_token,1.163183892718354,,,n/a,,paired t-test,,
PHI35,WMT,1,1000,tok_per_sec,18.332435746305713,,,n/a,,paired t-test,,
PHI35,WMT,1,1000,score,0.4855835773015344,,,n/a,,paired t-test,,
PHI35,WMT,9,1000,mem_per_token,9.995797975102429,2.7037607095691976,0.42939674895605506,better,4.755965013623831e-56,paired t-test,-7.721434014489287,-6.862640516577176
PHI35,WMT,9,1000,tok_per_sec,14.812271199124384,14.522050383603371,0.06745392727937215,worse,1.6737625071645624e-13,paired t-test,-0.3576747428003812,-0.2227668882416369
PHI35,WMT,9,1000,score,0.4921921629650535,0.491335031794476,0.0014654666698475502,no_sig,0.248619514877377,paired t-test,-0.0023225978404251,0.00060833549927
PHI35,HUMAN_EVAL,3,1000,mem_per_token,2.8622189550392685,1.23301276210758,0.07775380251493469,better,2.2923891749696612e-88,paired t-test,-1.7069599954466237,-1.5514523904167543
PHI35,HUMAN_EVAL,3,1000,tok_per_sec,12.815044334834656,13.990112243238643,0.10302980711337073,better,6.502758046971909e-52,paired t-test,1.0720381012906168,1.2780977155173583
PHI35,HUMAN_EVAL,3,1000,score,0.6890243902439024,0.6890243902439024,,no_sig,1.0,McNemar test,,
PHI35,HUMAN_EVAL,15,1000,mem_per_token,15.60190145175607,3.0726187703009584,0.464066543567359,better,4.5004695953943e-105,paired t-test,-12.993349225022472,-12.065216137887754
PHI35,HUMAN_EVAL,15,1000,tok_per_sec,9.84572839714611,10.959076790495512,0.1258491089734961,better,3.4889346710432275e-39,paired t-test,0.9874992843759052,1.2391975023228974
PHI35,HUMAN_EVAL,15,1000,score,0.7012195121951219,0.7012195121951219,44477.41767446585,no_sig,0.4795001221869533,McNemar test,335.3424167055845,89290.17776563727
PHI35,HUMAN_EVAL,1,1000,mem_per_token,0.7483399381862009,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,1,1000,tok_per_sec,13.78979342357431,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,1,1000,score,0.6463414634146342,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,9,1000,mem_per_token,9.260862386559324,2.1740199299780394,0.2849974958054151,better,1.374853529027643e-99,paired t-test,-7.371839952386701,-6.80184496077587
PHI35,HUMAN_EVAL,9,1000,tok_per_sec,10.88643179066155,11.864445659462271,0.09835573714248413,better,8.298791084181421e-45,paired t-test,0.8796581316582401,1.0763696059432084
PHI35,HUMAN_EVAL,9,1000,score,0.6890243902439024,0.7012195121951219,62389.598222708744,no_sig,0.4795001221869533,McNemar test,245.21905483284283,125024.41550025032
PHI35,CNN,3,1000,mem_per_token,4.003173935321542,1.394131706059591,0.053610502967587514,better,9.2249676329898e-100,paired t-test,-2.6626527322295392,-2.555431726294364
PHI35,CNN,3,1000,tok_per_sec,11.507388275438103,10.808196683874028,0.20619587309836906,worse,1.1232641360653578e-09,paired t-test,-0.9053874646624464,-0.4929957184657082
PHI35,CNN,3,1000,score,0.1959579062706456,0.185734187063259,0.010571354095980449,no_sig,0.0578686008665987,paired t-test,-0.020795073303367,0.0003476348885939
PHI35,CNN,1,1000,mem_per_token,1.3572658544436882,,,n/a,,paired t-test,,
PHI35,CNN,1,1000,tok_per_sec,14.134059080089948,,,n/a,,paired t-test,,
PHI35,CNN,1,1000,score,0.1946727904284185,,,n/a,,paired t-test,,
PHI35,CNN,9,1000,mem_per_token,11.9494273730019,1.3863973974597503,0.1892536137825056,better,1.339174125868913e-105,paired t-test,-10.75228358932466,-10.37377636175965
PHI35,CNN,9,1000,tok_per_sec,4.227195413525456,8.884911738401422,0.0853573846444089,better,1.2313676887496321e-104,paired t-test,4.572358940231558,4.743073709520376
