model,dataset,beam,samples,mode,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper,is_topk,prefix_used
REASONING,MATH500,6,1000.0,beam,mem_per_token,0.2606740131475523,0.19495765700553,0.013517990130040649,better,6.474677104681436e-16,paired t-test,-0.0792343462720629,-0.0521983660119816,False,orig
REASONING,MATH500,6,1000.0,beam,tok_per_sec,4.368284286113422,4.255586837524451,0.10470436873796521,worse,0.0351712034310226,paired t-test,-0.2174018173269358,-0.0079930798510054,False,orig
REASONING,MATH500,6,1000.0,beam,score,0.71,0.44,164.35327399989956,worse,1.3785655170023429e-06,McNemar test,5.531977492059155,334.23852549185824,False,orig
REASONING,MATH500,6,1000.0,beam,input_kv_memory,41935.52159744,41948.58443776,1.1680619410426711,worse,3.2931289076584043e-40,paired t-test,11.894778378955614,14.230902261040956,False,orig
REASONING,MATH500,3,2000.0,beam,mem_per_token,0.4469759563822238,0.1723685283280454,0.0035257279113035944,better,7.633299934556578e-120,paired t-test,-0.278133155965482,-0.2710817001428748,False,orig
REASONING,MATH500,3,2000.0,beam,tok_per_sec,15.428295175371073,9.815186606661744,0.19532173414450682,worse,1.5863885068972943e-77,paired t-test,-5.808430302853836,-5.417786834564822,False,orig
REASONING,MATH500,3,2000.0,beam,score,0.33,0.3,13761.249817542799,no_sig,0.2482130789899202,McNemar test,65.0872440517041,27587.586879137303,False,orig
REASONING,MATH500,3,2000.0,beam,input_kv_memory,8097.58854656,8095.509140479999,0.679817184362816,better,2.3725402217587062e-08,paired t-test,-2.7592232643628605,-1.3995888956372284,False,orig
REASONING,MATH500,9,2000.0,beam,mem_per_token,1.3438210878207668,0.2620100698696089,0.01289025472857297,better,4.8382533597603765e-123,paired t-test,-1.094701272679731,-1.068920763222585,False,orig
REASONING,MATH500,9,2000.0,beam,tok_per_sec,11.283677904830922,5.81705180465693,0.1362302138129321,worse,1.4278530766789367e-91,paired t-test,-5.602856313986924,-5.330395886361059,False,orig
REASONING,MATH500,9,2000.0,beam,score,0.39,0.39,18704.57727124137,no_sig,0.4795001221869533,McNemar test,138.44825269823033,37547.602795180974,False,orig
REASONING,MATH500,9,2000.0,beam,input_kv_memory,8190.65248256,8095.508633599999,10.638992731066907,better,1.6216089784720634e-32,paired t-test,-105.7828416910669,-84.5048562289331,False,orig
LLAMA3_70B,HUMAN_EVAL,3,1000.0,beam,mem_per_token,1.132204580590774,0.4478567094261715,0.028348117100828407,better,1.2549504579640554e-97,paired t-test,-0.712695988265431,-0.6559997540637742,False,orig
LLAMA3_70B,HUMAN_EVAL,3,1000.0,beam,tok_per_sec,3.855174064698413,4.109748949842135,0.021720116034451564,better,2.1803375449979745e-53,paired t-test,0.2328547691092694,0.2762950011781725,False,orig
LLAMA3_70B,HUMAN_EVAL,3,1000.0,beam,score,0.774390243902439,0.774390243902439,3948.3258626591632,no_sig,0.6170750774519739,McNemar test,148.69331965414668,8045.345044972473,False,orig
LLAMA3_70B,HUMAN_EVAL,3,1000.0,beam,input_kv_memory,141354.6344647805,141234.16600975607,7.252151083558481,better,1.0852460772594817e-73,paired t-test,-127.72060610795305,-113.21630394083608,False,orig
LLAMA3_70B,HUMAN_EVAL,1,1000.0,beam,mem_per_token,0.331440672025764,,0.0019882998707485555,n/a,,n/a,0.3294523721550155,0.3334289718965126,False,orig
LLAMA3_70B,HUMAN_EVAL,1,1000.0,beam,tok_per_sec,4.166026231880906,,0.007345856539611617,n/a,,n/a,4.158680375341294,4.173372088420518,False,orig
LLAMA3_70B,HUMAN_EVAL,1,1000.0,beam,score,0.7317073170731707,,0.06852733755559015,n/a,,n/a,0.6631799795175806,0.8002346546287609,False,orig
LLAMA3_70B,HUMAN_EVAL,1,1000.0,beam,input_kv_memory,141234.17526321954,,3.4117670296836877,n/a,,n/a,141230.7634961898,141237.58703024915,False,orig
LLAMA3,HUMAN_EVAL,3,1000.0,beam,mem_per_token,0.4758843794326269,0.4076571056716488,0.01986184470519475,better,2.064193187928065e-10,paired t-test,-0.0880891184661728,-0.0483654290557833,False,orig
LLAMA3,HUMAN_EVAL,3,1000.0,beam,tok_per_sec,4.979500922817475,12.526162001278005,0.05491224553774732,better,2.1814674926991328e-218,paired t-test,7.491748832922783,7.601573323998277,False,orig
LLAMA3,HUMAN_EVAL,3,1000.0,beam,score,0.6463414634146342,0.6463414634146342,48561.66620364741,no_sig,0.4795001221869533,McNemar test,367.42176531509153,97490.7541726099,False,orig
LLAMA3,HUMAN_EVAL,3,1000.0,beam,input_kv_memory,32301.88740995121,32203.38794146341,5.401405392271066,better,1.688653730608263e-79,paired t-test,-103.9008738800753,-93.09806309553316,False,orig
LLAMA3,HUMAN_EVAL,15,1000.0,beam,mem_per_token,3.8212311730397657,0.9239814485619856,0.04329989933682876,better,1.0994575946318094e-167,paired t-test,-2.9405496238146083,-2.8539498251409507,False,orig
LLAMA3,HUMAN_EVAL,15,1000.0,beam,tok_per_sec,4.038392604393474,11.226859528517531,0.15186734561218973,better,1.6638298244137837e-143,paired t-test,7.036599578511866,7.340334269736245,False,orig
LLAMA3,HUMAN_EVAL,15,1000.0,beam,score,0.6463414634146342,0.6463414634146342,,no_sig,1.0,McNemar test,,,False,orig
LLAMA3,HUMAN_EVAL,15,1000.0,beam,input_kv_memory,32875.32308292683,32203.38794770732,38.63345518016388,better,1.5534229001551185e-76,paired t-test,-710.5685903996756,-633.3016800393478,False,orig
LLAMA3,HUMAN_EVAL,9,1000.0,beam,mem_per_token,2.1415376181448678,0.6786703737122122,0.030807666213882867,better,1.0027055664455517e-143,paired t-test,-1.4936749106465372,-1.4320595782187715,False,orig
LLAMA3,HUMAN_EVAL,9,1000.0,beam,tok_per_sec,4.413695450161608,11.807314081617156,0.09821848294627333,better,5.8844364129318886e-176,paired t-test,7.295400148509271,7.491837114401818,False,orig
LLAMA3,HUMAN_EVAL,9,1000.0,beam,score,0.6585365853658537,0.6524390243902439,181172.00325666933,no_sig,1.0,McNemar test,395.9207278125824,362739.9272411512,False,orig
LLAMA3,HUMAN_EVAL,9,1000.0,beam,input_kv_memory,32588.686788682928,32203.387953951216,22.037916768277455,better,7.356675912478193e-77,paired t-test,-407.3367514999844,-363.2609179634295,False,orig
LLAMA3,HUMAN_EVAL,1,1000.0,beam,mem_per_token,-0.0892274227392776,,0.02259034414592235,n/a,,n/a,-0.1118177668851999,-0.0666370785933552,False,orig
LLAMA3,HUMAN_EVAL,1,1000.0,beam,tok_per_sec,5.612726224727426,,0.027211654931219353,n/a,,n/a,5.585514569796207,5.639937879658646,False,orig
LLAMA3,HUMAN_EVAL,1,1000.0,beam,score,0.6036585365853658,,0.07565213226213752,n/a,,n/a,0.5280064043232283,0.6793106688475034,False,orig
LLAMA3,HUMAN_EVAL,1,1000.0,beam,input_kv_memory,32203.39065756098,,2.9130988560591504,n/a,,n/a,32200.477558704923,32206.30375641704,False,orig
LLAMA3,CNN,3,1000.0,beam,mem_per_token,0.8493059642191554,0.3397238521370431,0.004268175281590625,better,3.697482974440494e-138,paired t-test,-0.5138502873637028,-0.5053139368005215,False,orig
LLAMA3,CNN,3,1000.0,beam,tok_per_sec,4.4524359040238615,10.961583471148646,0.1288013820259879,better,2.2926927039440996e-101,paired t-test,6.380346185098797,6.637948949150773,False,orig
LLAMA3,CNN,3,1000.0,beam,score,0.20526811029,0.2046622861848422,0.0027286597821323,no_sig,0.6605057745600679,paired t-test,-0.0033344838872901,0.0021228356769745,False,orig
LLAMA3,CNN,3,1000.0,beam,input_kv_memory,32823.784796160005,32379.855103999995,39.057737106322804,better,8.610020023616568e-41,paired t-test,-482.9874292663224,-404.8719550536768,False,orig
LLAMA3,CNN,9,1000.0,beam,mem_per_token,2.446780973984861,0.426712575760451,0.013622608173066597,better,1.8274297134032608e-147,paired t-test,-2.033691006397477,-2.0064457900513437,False,orig
LLAMA3,CNN,9,1000.0,beam,tok_per_sec,3.685461874776616,10.022483541825876,0.17954732455124756,better,3.7787896256005895e-86,paired t-test,6.157474342498012,6.516568991600507,False,orig
LLAMA3,CNN,9,1000.0,beam,score,0.2042441462285242,0.2040195639449828,0.0028474967843560997,no_sig,0.8759612851487206,paired t-test,-0.0030720790678975,0.0026229145008147,False,orig
LLAMA3,CNN,9,1000.0,beam,input_kv_memory,34151.36899584,32379.85523712,156.53307659819916,better,1.2304195903288803e-40,paired t-test,-1928.0468353181989,-1614.9806821218006,False,orig
LLAMA3,CNN,1,1000.0,beam,mem_per_token,0.3174838592602933,,0.005610875594956072,n/a,,n/a,0.3118729836653373,0.3230947348552494,False,orig
LLAMA3,CNN,1,1000.0,beam,tok_per_sec,5.317202830082927,,0.07899824923828191,n/a,,n/a,5.238204580844645,5.396201079321209,False,orig
LLAMA3,CNN,1,1000.0,beam,score,0.2014998458010466,,0.018631340064111754,n/a,,n/a,0.1828685057369349,0.2201311858651584,False,orig
LLAMA3,CNN,1,1000.0,beam,input_kv_memory,32379.987461120003,,19.787870777232456,n/a,,n/a,32360.199590342763,32399.775331897228,False,orig
LLAMA3,MATH500,3,1000.0,beam,mem_per_token,0.8209044768945821,0.381186591963261,0.01397286034456205,better,2.5174167604984403e-81,paired t-test,-0.4536907452758832,-0.4257450245867591,False,orig
LLAMA3,MATH500,3,1000.0,beam,tok_per_sec,13.500268029163696,12.127779709759295,0.25038253992581816,worse,1.3518999945224462e-18,paired t-test,-1.6228708593302184,-1.122105779478582,False,orig
LLAMA3,MATH500,3,1000.0,beam,score,0.32,0.33,65522.09266478146,no_sig,1.0,McNemar test,140.16111295760703,131184.34644252053,False,orig
LLAMA3,MATH500,3,1000.0,beam,input_kv_memory,32236.505681920004,32181.664296960003,6.286836489069625,better,1.0504381716789531e-31,paired t-test,-61.12822144906973,-48.55454847093048,False,orig
LLAMA3,MATH500,15,1000.0,beam,mem_per_token,4.074895891711077,1.0039598416057307,0.056983684772209386,better,4.1845399473053733e-104,paired t-test,-3.127919734877556,-3.0139523653331373,False,orig
LLAMA3,MATH500,15,1000.0,beam,tok_per_sec,10.538046379351671,8.219316678546418,0.2388652458946421,worse,2.9403292665004425e-35,paired t-test,-2.557594946699896,-2.079864454910612,False,orig
LLAMA3,MATH500,15,1000.0,beam,score,0.41,0.4,71951.83001430864,no_sig,1.0,McNemar test,154.6484908018817,144058.30851941917,False,orig
LLAMA3,MATH500,15,1000.0,beam,input_kv_memory,32554.7837184,32181.6644096,41.81384470847246,better,1.913719761713469e-32,paired t-test,-414.9331535084721,-331.3054640915272,False,orig
LLAMA3,MATH500,9,1000.0,beam,mem_per_token,2.447128677691296,0.68099497740673,0.03610737304256739,better,5.620384081243221e-100,paired t-test,-1.8022410733271328,-1.730026327241998,False,orig
LLAMA3,MATH500,9,1000.0,beam,tok_per_sec,11.616760438193792,9.5886534284091,0.2434114485171347,worse,3.10416233420618e-30,paired t-test,-2.2715184583018257,-1.7846955612675564,False,orig
LLAMA3,MATH500,9,1000.0,beam,score,0.38,0.38,,no_sig,1.0,McNemar test,,,False,orig
LLAMA3,MATH500,9,1000.0,beam,input_kv_memory,32396.45972992,32181.66450176,23.860526615852052,better,9.844612554561528e-33,paired t-test,-238.6557547758519,-190.9347015441478,False,orig
LLAMA3,MATH500,1,1000.0,beam,mem_per_token,0.2819028323357323,,0.006311905773359799,n/a,,n/a,0.2755909265623725,0.2882147381090921,False,orig
LLAMA3,MATH500,1,1000.0,beam,tok_per_sec,14.030469452428552,,0.07900996911690239,n/a,,n/a,13.951459483311652,14.109479421545457,False,orig
LLAMA3,MATH500,1,1000.0,beam,score,0.3,,0.09138632344891305,n/a,,n/a,0.2086136765510869,0.391386323448913,False,orig
LLAMA3,MATH500,1,1000.0,beam,input_kv_memory,32181.67048192001,,3.1679969425713352,n/a,,n/a,32178.502484977435,32184.838478862577,False,orig
MISTRAL,HUMAN_EVAL,3,1000.0,beam,mem_per_token,14.226701748657703,0.5213799310186755,0.8187743225645505,better,3.671781109910968e-74,paired t-test,-14.52409614020358,-12.88654749507448,False,orig
MISTRAL,HUMAN_EVAL,3,1000.0,beam,tok_per_sec,3.713326703196674,7.317642260988519,0.03171073291994175,better,5.56340358283505e-205,paired t-test,3.572604824871904,3.6360262907117873,False,orig
MISTRAL,HUMAN_EVAL,3,1000.0,beam,score,0.7804878048780488,0.7804878048780488,,no_sig,1.0,McNemar test,,,False,orig
MISTRAL,HUMAN_EVAL,3,1000.0,beam,input_kv_memory,94507.29833209756,94384.18487570732,6.965209297457534,better,1.5309665766142462e-77,paired t-test,-130.07866568770086,-116.1482470927858,False,orig
MISTRAL,HUMAN_EVAL,6,1000.0,beam,mem_per_token,15.225646693430336,0.6978178066103237,0.8153692632433858,better,4.83628601062401e-78,paired t-test,-15.343198150063396,-13.712459623576624,False,orig
MISTRAL,HUMAN_EVAL,6,1000.0,beam,tok_per_sec,3.3268846288324383,6.585085312620263,0.05650351996728009,better,2.8699062570386327e-157,paired t-test,3.201697163820545,3.314704203755105,False,orig
MISTRAL,HUMAN_EVAL,6,1000.0,beam,score,0.7682926829268293,0.7682926829268293,,no_sig,1.0,McNemar test,,,False,orig
